date,rmse,mae,dataset
2023-10-29,0.012587600972418381,0.011028845671261138,major strains
2023-11-05,0.019685400759206103,0.016553758023022534,major strains
2023-11-12,0.04061224065340137,0.03233359337850292,major strains
2023-11-19,0.05153916870250108,0.039243456210256794,major strains
2023-11-26,0.07105456831523478,0.05094670485515956,major strains
2023-12-03,0.06097516658592382,0.04148010907018115,major strains
2023-12-10,0.04425705645742595,0.028156549532255944,major strains
2023-12-17,0.0781638325192829,0.04337363559190236,major strains
2023-12-24,0.07773416861768086,0.043140900209823696,major strains
2023-12-31,0.07103075532929011,0.03868758034990333,major strains
2024-01-07,0.05471705515888319,0.032024322479123256,major strains
2024-01-14,0.016920204728971076,0.01431395075048744,major strains
2024-01-21,0.017189101112617684,0.01278146339669668,major strains
2024-01-28,0.025015815666409764,0.016096941307131993,major strains
2024-02-04,0.01695827703205817,0.012501836777498934,major strains
2024-02-11,0.012719599655313246,0.010046612908959666,major strains
2024-02-18,0.019675190675702406,0.012682796836253323,major strains
2024-02-25,0.023455036085558146,0.014903547383053864,major strains
2024-03-03,0.006824762452682846,0.006038160195253421,major strains
2024-03-10,0.05014510033711103,0.028831482124249973,major strains
2024-03-17,0.08043394145354416,0.0463927293211289,major strains
2024-03-24,0.08002311102400315,0.04693078036554735,major strains
2024-03-31,0.0809164812396442,0.0500281981268688,major strains
2024-04-07,0.062135577163319015,0.045326986416558704,major strains
2024-04-14,0.020740920627403767,0.016484976862773833,major strains
2024-04-21,0.026074839402559922,0.01982563789501196,major strains
2024-04-28,0.03786302474122824,0.03197512426911178,major strains
2024-05-05,0.04751948651484033,0.03920251067802354,major strains
2024-05-12,0.02548014724246835,0.018459915866545527,major strains
2024-05-19,0.01491452768883793,0.010981175610384803,major strains
2024-05-26,0.0256232352071102,0.018882868343222562,major strains
2024-06-02,0.02349170977548918,0.015979201743931706,major strains
2024-06-09,0.04348659934635251,0.03195727379760116,major strains
2024-06-16,0.05394047278334926,0.03472043368129247,major strains
2024-06-23,0.06253553619295119,0.03061583259626034,major strains
2024-06-30,0.07538277559699953,0.04471392568010355,major strains
2024-07-07,0.04250324229376505,0.028838845518807235,major strains
2024-07-14,0.032958691428767284,0.023454056903514483,major strains
2024-07-21,0.04905048516111442,0.033552624045100135,major strains
2024-07-28,0.060621772761278114,0.04158508594049744,major strains
2024-08-04,0.06942456472137545,0.04659599985423797,major strains
2024-08-11,0.07166457408999556,0.04608017228191505,major strains
2024-08-18,0.0667738457716966,0.036194430842219,major strains
2024-08-25,0.07676346188101425,0.04014519375946527,major strains
2024-09-01,0.095904240530214,0.05312884854021126,major strains
2024-09-08,0.11504332542423303,0.06376253944140563,major strains
2024-09-15,0.11972802821865874,0.06233755327207178,major strains
2024-09-22,0.12470453885320287,0.06785001148213525,major strains
2024-09-29,0.121297553605541,0.06284498557015815,major strains
2024-10-06,0.10211366639078065,0.05488817633569625,major strains
2024-10-13,0.06275448235922948,0.033280126303190175,major strains
