ds,location_index,rbd_index,t0_index,n_bg_isolates_target,n_isolates_target_cusum,location,rbd_name,t0,n_bg_isolates,n_bg_clusters,target_isolates_t0,total_isolates_t0,target_ratio_t0,rbd_name_mut
major_test,3,99,1033,0.0,1.0,Asia,r125,2022-10-22,312041.16,472,0.0,1156.1428,0.0,XBB.1.5
major_test,3,99,1034,0.0,1.0,Asia,r125,2022-10-23,311847.72,471,0.0,1174.4286,0.0,XBB.1.5
major_test,3,99,1035,0.0,1.0,Asia,r125,2022-10-24,311764.16,470,0.0,1183.7142,0.0,XBB.1.5
major_test,3,99,1036,0.0,1.0,Asia,r125,2022-10-25,311702.56,470,0.0,1189.5714,0.0,XBB.1.5
major_test,3,99,1037,0.0,1.0,Asia,r125,2022-10-26,311603.84,471,0.0,1193.0,0.0,XBB.1.5
major_test,3,99,1038,0.0,1.0,Asia,r125,2022-10-27,311552.56,472,0.0,1198.5714,0.0,XBB.1.5
major_test,3,99,1039,0.0,1.0,Asia,r125,2022-10-28,311558.28,475,0.0,1227.4286,0.0,XBB.1.5
major_test,3,99,1040,0.0,1.0,Asia,r125,2022-10-29,311677.16,480,0.0,1268.4286,0.0,XBB.1.5
major_test,3,99,1041,0.0,1.0,Asia,r125,2022-10-30,311860.44,483,0.0,1285.2858,0.0,XBB.1.5
major_test,3,99,1042,0.0,1.0,Asia,r125,2022-10-31,311879.16,484,0.0,1202.0,0.0,XBB.1.5
major_test,3,99,1043,0.0,1.0,Asia,r125,2022-11-01,311781.44,488,0.14285715,1289.0,0.00011082789,XBB.1.5
major_test,3,99,1044,0.14285715,1.1428572,Asia,r125,2022-11-02,311762.16,489,0.14285715,1312.2858,0.00010886131,XBB.1.5
major_test,3,99,1045,0.2857143,1.2857144,Asia,r125,2022-11-03,311685.84,491,0.14285715,1338.1428,0.000106757776,XBB.1.5
major_test,3,99,1046,0.42857146,1.4285716,Asia,r125,2022-11-04,311581.56,492,0.14285715,1319.1428,0.00010829544,XBB.1.5
major_test,3,99,1047,0.5714286,1.5714288,Asia,r125,2022-11-05,311371.84,495,0.14285715,1354.1428,0.000105496365,XBB.1.5
major_test,3,99,1048,0.71428573,1.714286,Asia,r125,2022-11-06,311135.56,493,0.14285715,1387.5714,0.00010295481,XBB.1.5
major_test,3,99,1049,0.8571429,1.8571432,Asia,r125,2022-11-07,311012.72,495,0.14285715,1533.7142,9.314457e-05,XBB.1.5
major_test,3,99,1050,1.0,2.0000002,Asia,r125,2022-11-08,311042.28,496,0.0,1526.7142,0.0,XBB.1.5
major_test,3,99,1051,1.0,2.0000002,Asia,r125,2022-11-09,311088.56,497,0.0,1541.7142,0.0,XBB.1.5
